id,carat,cut,color,clarity,depth,table,price
0,0.3,4,2,5,62.8,56.0,605
1,0.34,2,1,2,62.6,55.0,565
2,0.4,4,0,2,60.3,62.0,720
3,0.4,3,4,4,61.8,59.2,793
4,0.9,4,0,2,61.0,63.0,4381
5,0.6,2,0,2,61.7,56.0,2263
6,0.32,1,1,2,63.1,54.0,524
7,0.3,3,1,5,60.0,60.0,844
8,0.52,3,3,5,62.4,56.0,1577
9,0.41,4,1,2,61.8,60.0,705
10,0.31,2,3,3,61.6,55.6,429
11,0.31,3,3,4,61.8,59.0,625
12,0.7,0,4,2,65.5,57.0,1865
13,0.75,3,3,3,61.0,58.0,2216
14,1.14,2,4,2,61.5,55.0,7079
15,0.8,4,2,4,63.7,56.0,3460
16,2.01,2,4,2,62.1,56.0,14725
17,1.21,2,4,7,61.3,56.0,8950
18,0.9,1,6,2,64.0,61.0,2873
19,1.51,4,1,5,60.1,58.0,14889
20,0.3,2,4,7,61.1,55.0,605
21,0.52,2,1,7,62.0,54.0,2230
22,0.58,4,1,2,61.5,58.0,1424
23,0.72,3,2,5,62.7,59.0,2584
24,0.4,4,0,7,62.2,54.0,1263
25,1.24,3,2,4,58.0,58.0,9930
26,0.25,4,1,6,60.0,56.0,575
27,0.4,3,2,5,61.6,58.0,842
28,0.6,2,1,2,61.3,56.0,1890
29,0.7,3,5,6,61.2,59.0,2536
30,0.63,4,3,3,63.3,59.0,1105
31,1.2,4,5,2,62.6,57.0,5476
32,1.12,3,6,2,62.7,55.0,4064
33,0.4,3,3,6,61.5,58.0,1200
34,0.31,2,1,5,61.8,56.0,872
35,1.51,4,4,3,60.2,59.0,8444
36,0.5,3,2,5,60.7,58.0,1654
37,0.27,4,1,7,61.2,60.0,606
38,0.79,3,2,3,62.2,57.0,2555
39,0.33,3,5,7,61.0,58.0,743
40,0.75,2,1,3,62.1,57.0,2278
41,1.24,3,4,4,61.2,59.0,7358
42,0.59,4,3,4,62.5,53.0,1942
43,0.33,4,1,3,60.0,59.0,463
44,0.3,2,5,7,63.0,57.0,765
45,1.54,2,2,5,61.9,57.0,12978
46,1.06,4,1,7,63.4,55.0,9680
47,0.51,4,1,4,62.8,57.1,1970
48,0.9,4,2,3,62.4,58.0,3569
49,0.7,4,0,2,62.6,57.0,2726
50,0.31,3,2,5,60.7,61.0,749
51,0.61,1,1,2,61.3,61.0,1793
52,1.04,3,4,2,62.6,59.0,4890
53,1.54,3,1,2,59.3,60.0,11795
54,0.53,3,0,5,62.4,59.0,1783
55,1.05,4,5,5,63.2,59.0,4986
56,1.02,3,0,2,62.5,59.0,5998
57,0.7,1,2,4,63.8,58.0,2919
58,0.49,1,2,4,58.9,60.5,1430
59,0.42,3,2,7,61.7,59.0,1142
60,0.34,4,4,2,63.3,56.0,628
61,0.77,2,1,3,62.3,57.0,2689
62,1.01,3,4,2,61.8,59.0,4965
63,0.92,4,3,2,63.8,57.0,3724
64,0.4,1,1,2,63.7,56.0,687
65,1.01,1,0,4,62.2,62.0,7303
66,0.32,2,1,3,62.0,55.0,576
67,0.5,3,3,4,59.7,60.0,1746
68,0.72,2,0,2,60.8,57.0,2782
69,0.34,2,3,1,61.9,57.0,1084
70,1.2,2,3,7,61.7,57.0,7688
71,0.42,2,3,4,61.0,56.0,1055
72,0.72,2,5,5,61.7,56.0,2650
73,1.0,3,2,2,62.2,58.0,4586
74,0.7,3,3,2,61.6,61.0,2285
75,1.7,2,1,3,61.6,57.0,9139
76,1.01,4,3,5,63.6,56.0,6449
77,0.77,2,0,5,61.8,56.0,3721
78,0.3,2,2,6,61.6,57.0,1041
79,1.02,3,1,3,59.6,59.0,4478
80,1.06,3,3,2,61.5,59.0,5113
